"Id";"Oznaczenie";"Footprint";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
1;"C4,C2";"C_Disc_D4.7mm_W2.5mm_P5.00mm";2;"0.1uF";;;
2;"R1,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"330 Ohm";;;
3;"D1,D2";"LED_D4.0mm";2;"LED";;;
4;"U2";"TO-220-3_Vertical";1;"LM7809_TO220";;;
5;"C3,C1";"C_Disc_D4.7mm_W2.5mm_P5.00mm";2;"0.33uF";;;
6;"J2,J1,J3";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";3;"Screw_Terminal_01x02";;;
7;"U1";"TO-220-3_Vertical";1;"LM7805_TO220";;;
